0,1,2
Redmi K20 Pro | Flagship Killer from Xiaomi | Bangla review | PCB BD,28K views,4 years ago
Gaming Tables & Chairs are here | Gamdias Coverage Computex 2019,11K views,4 years ago
ASUS is giving replacement warranty | Laptop Fair 2019 | PCB BD,7.1K views,4 years ago
Top 5 Gadgets Under 1000 Taka | PCB BD,54K views,4 years ago
Huawei Google Relationship is Strong AGAIN | Smartphone & Tab Expo 2019,3.5K views,4 years ago
Limited Edition X570 Motherboards | AsRock Coverage Computex 2019,5.5K views,4 years ago
ASUS ROG GL704GV Gaming Laptop Bangla Review,10K views,4 years ago
1st Player Coverage Computex 2019,5.7K views,4 years ago
"Insane PC Builds, Case Mods | Thermaltake Coverage Computex 2019",25K views,4 years ago
Best of Taiwan | ASUS Coverage Computex 2019,10K views,4 years ago
"New MSI X570 Motherboards, Gaming Monitor| MSI Coverage Computex 2019",7.2K views,4 years ago
Taipei Vlog Day 5 Computex Begins,2.4K views,4 years ago
Full New ASUS Laptop Line up Coverage 2019 Special Sneak Peek,6.9K views,4 years ago
Stephen Burke Understands Bangla,7K views,4 years ago
Early Access Coverage of ASUS ROG Lineup by PCB BD,5.1K views,4 years ago
NZXT Booth Coverage Computex 2019,10K views,4 years ago
Taipei Vlog Day 3 Th RDNA & Corsair Convene,7K views,4 years ago
The Laptop Revolution ASUS Zenbook Pro Duo is Here! First Impression Hands On!,14K views,4 years ago
AMD Keynote Session 3rd gen Ryzen CPU launch PCB BD Coverage of Computex 2019,5.8K views,4 years ago
Taipei Vlog Day 2 The Sneakpeak |  Giveaway Starts,2.8K views,4 years ago
Samsung S10 Plus Long Term User Review | PCB BD,63K views,4 years ago
Taipei Vlog Day 1 Checking in with AirBNB,4.4K views,4 years ago
ASUS TUF FX505  Budget Gaming Laptop Bangla Review | PCB BD,63K views,4 years ago
ইন্টেল বনাম রাইজেন | Intel i5 9400f vs Ryzen 5 2600 | The Mid-Budget Range CPU Battle,261K views,4 years ago
"1 Lakh Taka Gaming Editing PC Build | Ryzen 5 2600, ASUS TUF B450 Plus , Xigmatek Aquarius Chassis",119K views,4 years ago
Realme 3 Pro Full Bangla Review | Redmi Note 7 Pro Killer? | PCB BD,8.8K views,4 years ago
Xiaomi Redmi Note 7 Bangla Review | Three Months Later,8.5K views,4 years ago
Razer Blade Stealth 2019 Review | PCB BD,26K views,4 years ago
ASUS ROG Zephyrus GX531GW Gaming Laptop Review | PCB BD,22K views,4 years ago
Bangla Budget Gaming Monitor Review | Philips 226E9QDSB,159K views,4 years ago
"90K Taka Gaming PC Buying Guide ft. ASUS ROG Strix GTX 1660 ti, i5 9400-F",54K views,4 years ago
ASUS ROG Strix GTX 1660 ti OC Edition Bangla Review | PCB BD,22K views,4 years ago
বটলনেক তদন্ত ?!  i3 8100 vs i5 9600k and Rtx 2060 | 70K Taka Bottleneck Gaming PC Build,61K views,4 years ago
iPad Pro 11 Review + Apple Pencil 2 | The Best Apple Product Ever?,56K views,4 years ago
120K Taka Bangla Gaming PC Build Guide ft Colorful iGame RTX 2060 Ultimate OC,181K views,4 years ago
Best Useful Budget Gadget for Youtubers | ইউটিউবারদের জন্য বেস্ট গ্যাজেট ২০১৯,10K views,4 years ago
Bangla Gaming Monitor Review | LG 22MK430,35K views,4 years ago
Sapphire Pulse RX 570 4GB GPU Bangla Review 2019 | PCB BD,35K views,4 years ago
144Hz Gaming Monitor Review Asus VG248QE | PCB BD,26K views,4 years ago
Bangla Gaming Laptop Review | ASUS ROG Strix GL504GM Scar II Edition,49K views,4 years ago
Colorful iGame RTX 2060 GPU Lineup Bangla Review | PCB BD,57K views,4 years ago
Budget Casing Xigmatek Taurus Bangla Review | PCB BD,79K views,4 years ago
60 Thousand Taka Gaming PC Bangla Buying Guide ft Sapphire Pulse RX 570 4GB,138K views,4 years ago
"ASUS ROG Strix RTX 2080ti Bangla Gaming PC Build ft i7 8700, Cougar Conquer Chassis",51K views,4 years ago
ASUS ROG Strix GeForce RTX 2080Ti Advanced A11G GDDR6 Edition Bangla | Graphics Card Review,14K views,4 years ago
Umidigi One Bangla Review | 16K Budget Smartphone | PCB BD,26K views,5 years ago
"180K Taka Gaming PC Build | Ryzen 7 1700X, ASUS ROG Strix RTX 2070",40K views,5 years ago
Budget Monitor for Professionals | ASUS VZ229HE Monitor Bangla Review | PCB BD,125K views,5 years ago
ASUS ROG Strix RTX 2070 OC Edition Bangla Review | PCB BD,12K views,5 years ago
MSI Optix G27C2 144 Hz Curved Gaming Monitor Bangla Review | PCB BD,41K views,5 years ago
Bangla Gaming Laptop Buying Guide NEW YEAR 2019 | বাংলাদেশে গেমিং ল্যাপটপের দাম,32K views,5 years ago
400K ROG SETUP !! Inspiration ? 🔥 🔥,242K views,5 years ago
Gamdias Hephaestus P1 RGB Gaming Headset Bangla Review | PCB BD,29K views,5 years ago
The RIPPER is here !!!  💀 💀 💀,27K views,5 years ago
"300K Taka Monster Gaming PC Build | i9 9900K, MSI RTX 2080 Gaming X Trio | ft The Council",1M views,5 years ago
GALAX RTX 2080 OC Edition GPU Bangla Review | রে ট্রেসিং কি সবকিছু? | PCB BD,17K views,5 years ago
Bangla Laptop Buying Guide 2019 | বাংলাদেশে ল্যাপটপের দাম | PCB BD,138K views,5 years ago
ASUS Vivobook S15 S530UF Laptop Bangla Review | PCB BD,198K views,5 years ago
LG 22MK600M Gaming Monitor Review | The new king of BUDGET MONITORS??,149K views,5 years ago
40000 Taka Budget Gaming PC Build Guide | Ryzen 5 2400G | PCB BD,196K views,5 years ago
"80000 Taka PC Build Guide | Intel i5 8400, GTX 1050ti | PCB BD",53K views,5 years ago
একটি র‍্যাম বনাম দুটি র‍্যাম | Single Channel vs Dual Channel Memory Explained,32K views,5 years ago
Huawei Y9 2019 Bangla Review | Is It The New Mid Budget King?,18K views,5 years ago
30000 Taka Budget Gaming PC Build Guide | Gaming Editing Tested PC | PCB BD,482K views,5 years ago
Gamdias Hermes P1 RGB Mechanical Gaming Keyboard Bangla Review,39K views,5 years ago
Huawei P20 Pro Bangla Review | The Beast With 4 Cameras | PCB BD,19K views,5 years ago
MSI GE63 Raider RGB 8RF Gaming Laptop Bangla Review | PCB BD,13K views,5 years ago
iPhone XS Bangla Review | Vs Samsung Galaxy Note 9 | PCB BD,205K views,5 years ago
40000 Taka Gaming PC Buying Guide | PCB BD,98K views,5 years ago
New Level 20 Gaming Cases | ThermalTake Booth at Computex 2018 | PCB BD,11K views,5 years ago
POCOPHONE F1 Bangla Review | গরীবের ফ্ল্যাগশীপ ?,87K views,5 years ago
Huawei Nova 3i Bangla Review | Artificial Intelligent (AI) Smartphone | PCB BD,177K views,5 years ago
"Third Day At Computex 2018, Day 5 At Taipei, Taiwan | Bangla Vlog | PCB BD",3.9K views,5 years ago
রেজারের বাজেট (?) গেমিং হেডফোন | Razer Electra V2 Gaming Headset Bangla Review | PCB BD,78K views,5 years ago
"Techshohor Smartphone & Tab Expo 2018 | Huawei, Oppo, Samsung, Umidigi, Tecno, Nokia Smartphones",9.4K views,5 years ago
Motherboard Giveaway? ASRock Booth Tour Computex 2018,7.2K views,5 years ago
65 inch Gaming Monitor?!! ASUS ROG Booth Tour Computex 2018,19K views,5 years ago
ASUS South Asian Regional Director Mr. Vinay Shetty with PCB BD Computex 2018,1.7K views,5 years ago
RGB Gaming Chairs?!! Gamdias Booth | Computex 2018 | PCB BD,9.8K views,5 years ago
নোয়াখালী বিভাগ চান Dmitry Novoselov from HardwareCanucks | Computex 2018 | PCB BD,7.5K views,5 years ago
"Second Day Computex Vlog বাংলা  Day 4 at Taipei, Taiwan | Computex 2018 | PCB BD",3.5K views,5 years ago
চিকন পিনের চার্জার with Kyle Hansen from Bitwit | Computex 2018 | PCB BD,7.3K views,5 years ago
OMG!!! Liquid Cooled 5531 Mhz RAM at ADATA Booth | Computex 2018 | PCB BD,10K views,5 years ago
"Computex Begins Vlog বাংলা Day 3 at Taipei, Taiwan Computex 2018 PCB BD",2.4K views,5 years ago
"Insane Bitcoin Mining Rig, 240 Hz Monitor at MSI Booth | Computex 2018 | PCB BD",4.6K views,5 years ago
আবার জিগায় with Linus Sebastian from LinusTechTips Computex 2018 | PCB BD,187K views,5 years ago
"Media Badge Pickup  Computex 2018 Vlog বাংলা Day 2 Taipei,Taiwan",6.7K views,5 years ago
ROG Phone Bangla Hands On Review Computex 2018 Launch,22K views,5 years ago
"Computex 2018 Vlog বাংলা Day 1 Taipei, Taiwan PCB BD",11K views,5 years ago
"13000 Taka PC Buying Guide Bangla 2018 | Gaming, Editing Tested বাজেট কম্পিউটার | PCB BD",160K views,5 years ago
Philips 226V Budget Monitor Review in Bangla | PCB BD,14K views,5 years ago
XIAOMI 3C Wifi Router Review Under 2K Bangla | PCB BD,56K views,5 years ago
Huawei Nova 3e Full Bangla Review | Mid-Level Budget Smartphone | PCB BD,44K views,5 years ago
Computer Casing Buying Guide 2018 Bangla | Gaming Chassis | PCB BD,140K views,5 years ago
"25000 Taka PC Buying Guide Bangla 2018 | Gaming, Editing গরীবের অলরাউন্ডার | PCB BD",246K views,5 years ago
Huawei Y9 (2018) Full Bangla Review | Mid-Level Budget Smartphone | PCB BD,155K views,5 years ago
Worlds Largest GPU DGX-2 Announced by NVIDIA | GTC 2018 | PCB BD,13K views,5 years ago
Ram Price Hike Explained | র‍্যাম এর দাম কি আর কমবে না? | PCB BD,33K views,5 years ago
Gamdias Hermes 7 Gaming Keyboard Bangla Review | Budget Mechanical Keyboard | PCB BD,56K views,5 years ago
Samsung Galaxy S9 Plus Bangla Review | vs Apple iPhone X | PCB BD,90K views,5 years ago
"Cougar Conquer Gaming Computer Casing Unboxing, Assembly & mini Bangla Review | PCB BD",242K views,5 years ago
Graphics Card Price Hike Explained | জিপিউ'র দাম কবে কমবে? | PCB BD,30K views,5 years ago
"85,000 Taka Gaming/Editing PC Buying Guide Bangla 2018 | PCB BD",135K views,5 years ago
Budget Gaming Mouse Review | Gamdias ZEUS M1 Mouse Review | PCB BD,11K views,5 years ago
কোন গ্রাফিক্স কার্ড কিনবেন? Graphics Card (GPU) Buying Guide 2018 | PCB BD,102K views,5 years ago
ASUS TUF Z370 Plus Gaming Intel 8th Gen Coffee Lake Motherboard Overview in Bangla | PCB BD,8K views,5 years ago
This Cool Keyboard is Detachable | Asus Rog Claymore Overview Bangla | PCB BD,156K views,5 years ago
"55,000 Taka Budget PC Buying Guide Bangla 2018 | PCB BD",189K views,6 years ago
iPhone X Features Review মজার যত ফিচার | Bangla Review | PCB BD,71K views,6 years ago
Antec Cube Razer Edition Build with Ryzen 1700x Asrock Fatality XFX  580 | Project Ryzen | PCB BD,87K views,6 years ago
Project Ryzen Component Reveal | PCB BD,1.3K views,6 years ago
iPhone X Hands on Review Bangla | First impressions | PCB BD,717K views,6 years ago
The Story Behind the First Submerged Mineral Oil PC in Bangladesh | A Project by PCB BD,4K views,6 years ago
Project L.C.S Custom Water Cooled PC Step by step Build Guide in Bangla,32K views,6 years ago
Project L.C.S Component Reveal Teaser | PCB BD,1.4K views,6 years ago
GameSir T1s controller review | Bangla Review | PCB BD,13K views,6 years ago
Razer Mamba Tournament Edition Gaming Mouse Detailed Overview | Bangla | PCB BD,4.9K views,6 years ago
Huawei Y6II Prime Camera Performance Test  | Bangla | PCB BD,2.7K views,6 years ago
PCB BD Trailer | New Step by Step PC Build Guide | Bangla,1K views,6 years ago
Huawei Y6II Prime রিভিউ | Bangla Review | PCB BD,15K views,6 years ago
Top Five Gaming Mouse In Bangladesh | সেরা পাঁচ গেমিং মাউস | PCB BD,142K views,6 years ago
Top Five Gaming Mouse Promo | Bangla | PCB BD,2K views,6 years ago
XIAOMI MI6 First Impression | XIAOMI নিয়ে এলো MI6 বাংলাদেশে | Bangla Review,4.5K views,6 years ago
"Samsung, Huawei, Nokia , MI A tour to Techshohor.com Smartphone & Tab Expo 2017",4.8K views,6 years ago
ASUS ROG GX800 Reveal | The most powerful laptop??? | Bangla Overview,13K views,6 years ago
DIY Phone Skin How to Make DBrand Like SKin Under 1$ | ৫০ টাকার মধ্যে হুয়াওয়ে GR3 স্কিন | PCB BD,26K views,6 years ago
HUAWEI GR3 2017 Bangla Review aka  P8 Lite/Honor 8 Lite | PCB BD,28K views,6 years ago
The Ultimate Workstation Motherboard? ASUS X99-E WS Overview | PCB BD,11K views,6 years ago
Who is faster? Galaxy S8 Plus vs iPhone 7 Plus | PCB BD,1.7K views,6 years ago
Bangla New Funny Video | মোবাইল কেঁড়ে পানিতে ঝাঁপ | Galaxy S8 Plus Water Test | New Video 2017,2.8K views,6 years ago
Speaker Comparison Galaxy S8 Plus vs iPhone 7 Plus | Sound Test | PCB BD,1K views,6 years ago
"Galaxy S8 Plus VS iPhone 7 Plus Camera test | 4K, Low Light, Panorama, Auto Focus | PCB BD",5K views,6 years ago
Samsung Galaxy S8 Plus Bangla Review | vs Apple iphone 7 Plus | PCB BD,74K views,6 years ago
DIY Low Cost Custom GPU Backplate | Modlab Ep 1,10K views,6 years ago
MSI B250m Mortar Gaming Motherboard | Bangla Review | PCB BD,31K views,6 years ago
HUAWEI GR5 2017 Camera Perfromance Test | Bangla Review | PCB BD,15K views,6 years ago
CITY IT 2017 Computer Fair Video Tour | PCB BD,4.1K views,6 years ago
HUAWEI GR5 2017 Review Honor 6x | Bangla Review | PCB BD,11K views,6 years ago
PC Builder Bangladesh your favorite Bengali Tech Channel,3.7K views,6 years ago
ASUS Strix GTX 1060 Teardown & PCB Explained  | REPARO EP 3,4K views,6 years ago
Nvidia GTX 1060 vs AMD RX480 Benchmark Comparison w/ Teardown | Bangla Review | PCB BD,21K views,6 years ago
MSI Z270 Xpower Gaming Titanium Motherboard | Bangla Review | PCB BD,8.8K views,6 years ago
Introducing Nokia 6 | Evolution of Nokia | PCB BD,2.1K views,6 years ago
Intel Core i7 7700k Kaby Lake | Overclocking & Performance | PCB BD,3.3K views,6 years ago
ASUS ROG Maximus IX Formula | Unboxing & Overview | PCB BD,14K views,6 years ago
Prozect Manta Gaming PC Time lapse Build | Build Finish | PCB BD,4.4K views,7 years ago
Cooler Master Hyper 212x Installation Step by Step | Tutorial | PCB BD,5.2K views,7 years ago
DIY Step by Step Mini ITX Build Bangla | B150I | Asus GTX 1060 Strix | NZXT Manta | PCB BD,26K views,7 years ago
Gaming PC Configuration 1 Lakh Taka | Buying Guide | PCB BD,26K views,7 years ago
"Apple Macbook Pro 15.4"" (2016) with touchbar Unboxing in Bangla | PCB BD",23K views,7 years ago
"PC Configuration for Professionals 60,000 Bdt | Buying Guide | PCB BD",18K views,7 years ago
"Laptop Fair 2016 HP, Acer, Lenovo, ASUS | PCB BD",7.5K views,7 years ago
Asus ZenBook 3 Launch | Asus Bangladesh | Laptop Fair 2016,13K views,7 years ago
How to repair gaming mouse click problems | DIY Mouse Repair | PCB BD,4.1K views,7 years ago
ASUS GL552VW Gaming Laptop Review in Bangla | Bangla Review | PCB BD,18K views,7 years ago
GTA V Gameplay Performance Test on ASUS GL552VW Gaming Laptop,4.1K views,7 years ago
How to clean a Mechanical Keyboard - K95 Corsair | Reparo Episode 1 | PCB BD,17K views,7 years ago
iPhone 7 Water Test First time in Bangladesh | iPhone 7 Bangla Review | PCB BD,2.9K views,7 years ago
iPhone 7 Camera Performance Test | iPhone 7 Bangla Review | PCB BD,10K views,7 years ago
iPhone 7 Review in Bangla | Bangla Review | PCB BD,227K views,7 years ago
"Editing & Rendering PC at 90,000 BD Taka | PC Configuration Buying Guide | PCB BD",30K views,7 years ago
"Things you will get with Iphone 7, unboxing iphone 7 in Bangla",16K views,7 years ago
Asus GL552VW Laptop Unboxing in Bangla,5.7K views,7 years ago
LG 22MP68VQ-P Freesync Monitor Review in Bangla Best budget monitor 2016?,80K views,7 years ago
TechTalk w/Online Professionals Md Nurullah Episode 1,3.8K views,7 years ago
Techtalk with Online Professionals Promo,1K views,7 years ago
Prozect Manta Component Reveal,3.6K views,7 years ago
MSI GT72S 6QF Dragon Edition Gaming Laptop Unboxing w/Review in Bangla | Bangla Review | PCB BD,4.8K views,7 years ago
The Witcher 3: Wild Hunt on MSI GT72 6QF GTX 980 (4K Benchmark),1.3K views,7 years ago
Grand Theft Auto V on MSI GT72 6QF GTX 980 (4K Benchmark),1.4K views,7 years ago
"Gaming PC at 70,000 BD TAKA July 2016 (RX 480 Special) [900 Usd]",11K views,7 years ago
"Gaming PC at 56,000 BD TAKA July 2016",7.3K views,7 years ago
Galaxy S7 EDGE on a Rainy Day,782 views,7 years ago
Samsung Galaxy S7 Edge Review Bangla | স্যামসাং গ্যলাক্সি এস৭ এজ বাংলা রিভিউ,91K views,7 years ago
Zenfone Selfie Review in Bangla | Bangla Review | PCB BD,21K views,7 years ago
HUAWEI P9 Review in Bangla | Bangla Review | PCB BD,142K views,7 years ago
Huawei P9 Unboxing | Bangla Unboxing | PCB BD,1.8K views,7 years ago
Samsung Galaxy S7 EDGE Unboxing,4K views,7 years ago
Dell Ultrasharp U2515H Professional Monitor Review in Bangla | Bangla Review | PCB BD,25K views,7 years ago
Sony Bravia X900C 4K Android TV Revew in Bangla,7.7K views,7 years ago
Project X Aftermath & Rendering Benchmark,1.2K views,7 years ago
Realtime Rendering with Asus GTX 970 Strix,2.5K views,7 years ago
Asus Zenfone 2 ZE551ML Bangla Review,16K views,7 years ago
Asus Zenfone 2 Promo ZE551ML,729 views,7 years ago
Intel Core i7 5960X Asus X99 Deluxe & NZXT H440 Build Bangla,13K views,7 years ago
Asus B150 Pro Gaming/Aura Review in Bangla | Bangla Review | PCB BD,7.2K views,7 years ago
Aura RGB LED Light Show feat. B150 Pro Gaming,5.7K views,7 years ago
Buying Guide BD Taka 66000 (Aura Special),4.2K views,7 years ago
Asus B150 Pro Gaming GTX 980 & NZXT Noctis 450 Build in Bangla,12K views,7 years ago
Aura Week Component Reveal,1.9K views,7 years ago
Iphone 6S Review | Bangla Review | PCB BD,52K views,7 years ago
Iphone 6S 4k 30fps Recording Test,716 views,7 years ago
Iphone 6S 4k 30fps Recording Test 2,494 views,7 years ago
PCB BD Unboxing of Iphone 6S,648 views,7 years ago
ROG OC Tutorial Live Show,1.7K views,7 years ago
Intel Core i7 5960X Review in Bangla,4.2K views,7 years ago
High Quality Rendering with Core i7 5960X using V-Ray,5.7K views,7 years ago
"Gaming laptop buying guide 70,000-75000 BD Taka",4.8K views,7 years ago
"AMD Low Budget Build Guide for 720p Gaming Bangla 36,000 Bdt",1.8K views,7 years ago
PROJECT X Component Reveal,1.2K views,7 years ago
MSI GS60 2QD Ghost Pro 4K Unboxing & Review in Bangla,2.7K views,7 years ago
Gaming PC at 1 Lac 25 Thousand BD Taka,3.3K views,7 years ago
Promo,528 views,7 years ago
Project ROG Aftermath (Showcasing & Performance),1K views,7 years ago
Graphics Rendering & Video Editing PC at 2 lac BD Taka,3.4K views,7 years ago
Editing Beast PC Build A to Z Rampage V Extreme Core i7 5960X & GTX 980TI Strix SLI Build in Bangla,29K views,7 years ago
"Gaming PC at 1 LAC 100,000 BD Taka Skylake Edition",3.4K views,7 years ago
"Gaming PC at 66,000 BD Taka Skylake Edition",3.1K views,7 years ago
Coolermaster Cosmos SE Review in Bangla,3.6K views,7 years ago
Corsair Obsidian 900D Case Review in Bangla,3.1K views,8 years ago
Asus GTX 980TI Strix DC3OC Performance Review in Bangla,3.4K views,8 years ago
"Gaming PC at 75,000 BD Taka Skylake Edition",10K views,8 years ago
Project ROG Component Reveal,1.7K views,8 years ago
Intel Core i5 6600K Overclocking Guide using Maximus 8 Hero in Bangla | PCB BD,6.3K views,8 years ago
Samsung JS9000 SUHD 4K TV Review in Bangla,9.1K views,8 years ago
Project SUHD Promo.....Review is coming this week,330 views,8 years ago
PROJECT ROG PROMO....Another Promo? :),709 views,8 years ago
Seasonic M12II Evo 750W PSU Unboxing & Overview in Bangla,1.5K views,8 years ago
Future Project Promo! See Inside!,370 views,8 years ago
Asus VX229H AH IPS Monitor Review in Bangla | Bangla Review | PCB BD,81K views,8 years ago
Project Z Aftermath,1K views,8 years ago
Maximus VIII Hero Core i5 6600K & GTX 980 Strix Build in Bangla,10K views,8 years ago
Light Setup in NZXT H440 Case at 500 Taka in Bangla,16K views,8 years ago
NZXT H440 Case Review in Bangla,7.3K views,8 years ago
পেইন্ট করলাম করসেয়ার কুলার রিংটাকে!,609 views,8 years ago
Asus Zenbook UX303LB Unboxing & Review in Bangla,8.3K views,8 years ago
Why PC Builder Bangladesh? Here is your answer,1.5K views,8 years ago
Z170 Pro Gaming Unboxing & Overview in Bangla,8K views,8 years ago
Maximus VIII Hero Unboxing & Overview in Bangla,6.1K views,8 years ago
Samsung Galaxy S6 Edge Unboxing & Review in Bangla,109K views,8 years ago
Battlefield  Hardline on GT80 Titan SLI 2560x1600,1.9K views,8 years ago
iMac 27inch Mid 2013 Gaming Review in Bangla,8.2K views,8 years ago
"Gaming PC at 50,000 BD TAKA",29K views,8 years ago
PCB BD Promo,293 views,8 years ago
MSI GT80 Titan SLI Review in Bangla | Bangla Review | PCB BD,11K views,8 years ago
Avexir Core Series 2666 Mhz DDR3 Unboxing,749 views,8 years ago
Ryse Son of Rome on MSI GT80 Titan SLI 2560x1600,4.7K views,8 years ago
Maximus VII Hero Unboxing & Overview In Bangla Language,419 views,8 years ago
Samsung 850 EVO 1TB SSD Unboxing & Overview In Bangla Language,9.8K views,8 years ago
Grand Theft Auto V Benchmark With GTX980M SLI,1K views,8 years ago
Grand Theft Auto V Gameplay on The MSI GT80 Titan SLI 2560x1600,29K views,8 years ago
Upgrading Samsung 850 EVO 1TB SSD into The GT80 TitaN SLI Bangla Language,4.6K views,8 years ago
Tomb Raider on the MSI GT80 Titan SLI 1920x1080,785 views,8 years ago
Mortal Kombat X on my GT80 Titan SLI 2560x1600,1.4K views,8 years ago
MSI GT80 Titan SLI Unboxing & Overview in Bangla,1.7K views,8 years ago
GTA 5 on my system (Proper Benchmark),505 views,8 years ago
How to Set Up Mac for the First time in Bangla Language,15K views,8 years ago
Apple Imac Mid 2014 Unboxing in Bangla,46K views,8 years ago
Grand Theft Auto on my System,1K views,8 years ago
"Gaming PC at 30,000 BD TAKA",20K views,8 years ago
Rampage V Extreme with GTX 980 Strix SLI & 760T Part 2 in Bangla,7.1K views,8 years ago
Rampage V Extreme with GTX 980 Strix SLI & 760T Part 1 in Bangla,4.6K views,8 years ago
ROG Front Base Unboxing & Overview in Bangla,1K views,8 years ago
Corsair Graphite 760T Arctic White Review in Bangla,757 views,8 years ago
NZXT Hue RGB LED Controller Unboxing in Bangla,759 views,8 years ago
Corsair AX1200i Power Supply Unboxing & Overview in Bangla,856 views,8 years ago
মেমোরি ইসু GTX 970,256 views,8 years ago
Creative Sound Blaster ZXR Unboxing & Overview In Bangla,2.9K views,8 years ago
Rampage V Extreme Detail Overview in Bangla,620 views,8 years ago
Rampage V Extreme Unboxing in Bangla,1.6K views,8 years ago
Corsair Individual Sleeved Cable for AX1200i PSU,2.5K views,8 years ago
Upgrading Micro SSD to MSI GT70 2PE Laptop,6.8K views,8 years ago
iPhone 6 Plus 64GB Unboxing in Bangla,70K views,8 years ago
Corsair Dominator Platinum DDR4 Unboxing in Bangla,2.7K views,8 years ago
How to make external drive recipe,507 views,8 years ago
Using Logitech MK220 with Samsung Smart TV,11K views,9 years ago
Corsair Fans Unboxing & Overview in Bangla,5.6K views,9 years ago
Project X99,1.3K views,9 years ago
PC BUILDER Bangladesh is the First Bangladeshi Video Based Podcast about Computers,2.1K views,9 years ago
Maximus VII Impact with Asus GTX 980 Strix Build (In Bangla),17K views,9 years ago
Asus GTX 980 Strix Unboxing (In Bangla),4.3K views,9 years ago
Maximus VII Impact Unboxing & Overview (in Bangla) by PCB BD,462 views,9 years ago
Corsair RM750 Unboxing & Overview (In Bangla) by PCB BD,2.1K views,9 years ago
Maximux VII Impact Build Component Introduction (in Bangla)  by PCB BD,826 views,9 years ago
Bitfenix Prodigy Red PC Case Overview (In Bangla) by PCB BD,1.1K views,9 years ago
MSI GT70 2PE Dominator Pro Unboxing & Overview by PCB BD,9K views,9 years ago
Gaming Mini ITX Build with MSI Z87I Gaming AC & GTX 780 by PCB BD,5.4K views,9 years ago
Lenovo Ideapad Y510P Unboxing Bangla by PCB BD,3.7K views,9 years ago
Mini ITX Build Haswell Gigabyte H87 Part 3 Final,2K views,9 years ago
Mini ITX Build Haswell Gigabyte H87 Part 2,1.9K views,9 years ago
Mini ITX Build Haswell Gigabyte H87 Part 1,8.3K views,9 years ago
